"id","code","description","status","version"
"101","1640","Fabricación de recipientes de madera.","1","3"
"102","1690","Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería.","1","3"
"103","1701","Fabricación de pulpas (pastas) celulósicas; papel y cartón.","1","3"
"104","1702","Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón.","1","3"
"105","1709","Fabricación de otros artículos de papel y cartón.","1","3"
"106","1811","Actividades de impresión.","1","3"
"107","1812","Actividades de servicios relacionados con la impresión.","1","3"
"108","1820","Producción de copias a partir de grabaciones originales.","1","3"
"109","1910","Fabricación de productos de hornos de coque.","1","3"
"110","1921","Fabricación de productos de la refinación del petróleo.","1","3"
"111","1922","Actividad de mezcla de combustibles.","1","3"
"112","2011","Fabricación de sustancias y productos químicos básicos.","1","3"
"113","2012","Fabricación de abonos y compuestos inorgánicos nitrogenados.","1","3"
"114","2013","Fabricación de plásticos en formas primarias.","1","3"
"115","2014","Fabricación de caucho sintético en formas primarias.","1","3"
"116","2021","Fabricación de plaguicidas y otros productos químicos de uso agropecuario.","1","3"
"117","2022","Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas.","1","3"
"118","2023","Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador.","1","3"
"119","2029","Fabricación de otros productos químicos n.c.p.","1","3"
"120","2030","Fabricación de fibras sintéticas y artificiales.","1","3"
"121","2100","Fabricación de productos farmacéuticos, sustancias químicas medicinales y pro­ductos botánicos de uso farmacéutico.","1","3"
"122","2211","Fabricación de llantas y neumáticos de caucho","1","3"
"123","2212","Reencauche de llantas usadas","1","3"
"124","2219","Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.","1","3"
"125","2221","Fabricación de formas básicas de plástico.","1","3"
"126","2229","Fabricación de artículos de plástico n.c.p.","1","3"
"127","2310","Fabricación de vidrio y productos de vidrio.","1","3"
"128","2391","Fabricación de productos refractarios.","1","3"
"129","2392","Fabricación de materiales de arcilla para la construcción.","1","3"
"130","2393","Fabricación de otros productos de cerámica y porcelana.","1","3"
"131","2394","Fabricación de cemento, cal y yeso.","1","3"
"132","2395","Fabricación de artículos de hormigón, cemento y yeso.","1","3"
"133","2396","Corte, tallado y acabado de la piedra.","1","3"
"134","2399","Fabricación de otros productos minerales no metálicos n.c.p.","1","3"
"135","2410","Industrias básicas de hierro y de acero.","1","3"
"136","2421","Industrias básicas de metales preciosos.","1","3"
"137","2429","Industrias básicas de otros metales no ferrosos.","1","3"
"138","2431","Fundición de hierro y de acero.","1","3"
"139","2432","Fundición de metales no ferrosos.","1","3"
"140","2511","Fabricación de productos metálicos para uso estructural.","1","3"
"141","2512","Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancías.","1","3"
"142","2513","Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central.","1","3"
"143","2520","Fabricación de armas y municiones.","1","3"
"144","2591","Forja, prensado, estampado y laminado de metal; pulvimetalurgia.","1","3"
"145","2592","Tratamiento y revestimiento de metales; mecanizado.","1","3"
"146","2593","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería.","1","3"
"147","2599","Fabricación de otros productos elaborados de metal n.c.p.","1","3"
"148","2610","Fabricación de componentes y tableros electrónicos.","1","3"
"149","2620","Fabricación de computadoras y de equipo periférico.","1","3"
"150","2630","Fabricación de equipos de comunicación.","1","3"
"151","2640","Fabricación de aparatos electrónicos de consumo.","1","3"
"152","2651","Fabricación de equipo de medición, prueba, navegación y control.","1","3"
"153","2652","Fabricación de relojes.","1","3"
"154","2660","Fabricación de equipo de irradiación y equipo electrónico de uso médico y tera­péutico.","1","3"
"155","2670","Fabricación de instrumentos ópticos y equipo fotográfico.","1","3"
"156","2680","Fabricación de medios magnéticos y ópticos para almacenamiento de datos.","1","3"
"157","2711","Fabricación de motores, generadores y transformadores eléctricos.","1","3"
"158","2712","Fabricación de aparatos de distribución y control de la energía eléctrica.","1","3"
"159","2720","Fabricación de pilas, baterías y acumuladores eléctricos.","1","3"
"160","2731","Fabricación de hilos y cables eléctricos y de fibra óptica.","1","3"
"161","2732","Fabricación de dispositivos de cableado.","1","3"
"162","2740","Fabricación de equipos eléctricos de iluminación.","1","3"
"163","2750","Fabricación de aparatos de uso doméstico.","1","3"
"164","2790","Fabricación de otros tipos de equipo eléctrico n.c.p.","1","3"
"165","2811","Fabricación de motores, turbinas, y partes para motores de combustión interna.","1","3"
"166","2812","Fabricación de equipos de potencia hidráulica y neumática.","1","3"
"167","2813","Fabricación de otras bombas, compresores, grifos y válvulas.","1","3"
"168","2814","Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión.","1","3"
"169","2815","Fabricación de hornos, hogares y quemadores industriales.","1","3"
"170","2816","Fabricación de equipo de elevación y manipulación.","1","3"
"171","2817","Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico).","1","3"
"172","2818","Fabricación de herramientas manuales con motor.","1","3"
"173","2819","Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.","1","3"
"174","2821","Fabricación de maquinaria agropecuaria y forestal.","1","3"
"175","2822","Fabricación de máquinas formadoras de metal y de máquinas herramienta.","1","3"
"176","2823","Fabricación de maquinaria para la metalurgia.","1","3"
"177","2824","Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción.","1","3"
"178","2825","Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco.","1","3"
"179","2826","Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros.","1","3"
"180","2829","Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.","1","3"
"181","2910","Fabricación de vehículos automotores y sus motores.","1","3"
"182","2920","Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques.","1","3"
"183","2930","Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.","1","3"
"184","3011","Construcción de barcos y de estructuras flotantes.","1","3"
"185","3012","Construcción de embarcaciones de recreo y deporte.","1","3"
"186","3020","Fabricación de locomotoras y de material rodante para ferrocarriles.","1","3"
"187","3030","Fabricación de aeronaves, naves espaciales y de maquinaria conexa.","1","3"
"188","3040","Fabricación de vehículos militares de combate.","1","3"
"189","3091","Fabricación de motocicletas.","1","3"
"190","3092","Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad.","1","3"
"191","3099","Fabricación de otros tipos de equipo de transporte n.c.p.","1","3"
"192","3110","Fabricación de muebles.","1","3"
"193","3120","Fabricación de colchones y somieres.","1","3"
"194","3210","Fabricación de joyas, bisutería y artículos conexos.","1","3"
"195","3220","Fabricación de instrumentos musicales.","1","3"
"196","3230","Fabricación de artículos y equipo para la práctica del deporte.","1","3"
"197","3240","Fabricación de juegos, juguetes y rompecabezas.","1","3"
"198","3250","Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario).","1","3"
"199","3290","Otras industrias manufactureras n.c.p.","1","3"
"200","3311","Mantenimiento y reparación especializado de productos elaborados en metal.","1","3"
"201","3312","Mantenimiento y reparación especializado de maquinaria y equipo.","1","3"
"202","3313","Mantenimiento y reparación especializado de equipo electrónico y óptico.","1","3"
"203","3314","Mantenimiento y reparación especializado de equipo eléctrico.","1","3"
"204","3315","Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas.","1","3"
"205","3319","Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p.","1","3"
"206","3320","Instalación especializada de maquinaria y equipo industrial.","1","3"
"207","3511","Generación de energía eléctrica.","1","3"
"208","3512","Transmisión de energía eléctrica.","1","3"
"209","3513","Distribución de energía eléctrica.","1","3"
"210","3514","Comercialización de energía eléctrica.","1","3"
"211","3520","Producción de gas; distribución de combustibles gaseosos por tuberías.","1","3"
"212","3530","Suministro de vapor y aire acondicionado.","1","3"
"213","3600","Captación, tratamiento y distribución de agua.","1","3"
"214","3700","Evacuación y tratamiento de aguas residuales.","1","3"
"215","3811","Recolección de desechos no peligrosos.","1","3"
"216","3812","Recolección de desechos peligrosos.","1","3"
"217","3821","Tratamiento y disposición de desechos no peligrosos.","1","3"
"218","3822","Tratamiento y disposición de desechos peligrosos.","1","3"
"219","3830","Recuperación de materiales.","1","3"
"220","3900","Actividades de saneamiento ambiental y otros servicios de gestión de desechos.","1","3"
"221","4111","Construcción de edificios residenciales.","1","3"
"222","4112","Construcción de edificios no residenciales.","1","3"
"223","4210","Construcción de carreteras y vías de ferrocarril.","1","3"
"224","4220","Construcción de proyectos de servicio público.","1","3"
"225","4290","Construcción de otras obras de ingeniería civil.","1","3"
"226","4311","Demolición.","1","3"
"227","4312","Preparación del terreno.","1","3"
"228","4321","Instalaciones eléctricas.","1","3"
"229","4322","Instalaciones de fontanería, calefacción y aire acondicionado.","1","3"
